rpa;regiao;bairro;local;qtdzonas;endereco;latitude;longitude
3;NOROESTE;Casa Amarela;Biblioteca Municipal de Casa Amarela;1;Rua Maj. Afonso Leal  186 - Casa Amarela;-8025229;-34915929
3;NOROESTE;Casa Amarela;Mercado de Casa Amarela;6;Rua Padre Lemos  1930 - Casa Amarela;-8026798;-34918147
3;NOROESTE;Casa Amarela;Praça do Trabalho;1;Avenida Norte  s/n  Casa Amarela;-8022844;-34914372
3;NOROESTE;Casa Amarela;Sítio da Trindade ;1;Estrada do Arraial  3259 - Casa Amarela;-8028302;-3491175
3;NOROESTE;Casa Amarela;Sítio da Trindade ;1;Estrada do Arraial  3259 - Casa Amarela;-8028302;-3491175
3;NOROESTE;Casa Amarela;Upinha Dr. Moacyr André Gomes;1;Avenida Norte  5400 - Casa Amarela;-8022505;-34914353
3;NOROESTE;Casa Forte;Centro Médico Senador Ermírio de Moraes;1;Avenida Dezessete de Agosto  2388 - Casa Forte;-8028785;-34925705
3;NOROESTE;Derby;Praça do Derby;2;Praça do Derby  S/N - Derby;-8056313;-34898942
3;NOROESTE;Dois Irmãos;Praça Farias Neves;2;Rua Manoel de Medeiros  Dois Irmãos – Em frente ao Lafepe;-8015766;-34944032
3;NOROESTE;Graças;Parque Baobá;1;Rua Madre Loiola  2 - Graças;-8041483;-34904382
3;NOROESTE;Guabiraba;Upinha Dr Hélio Mendonça;1;Avenida da Recuperação  6429 - Córrego do Jenipapo;-8006541;-34937444
3;NOROESTE;Jaqueira;Parque da Jaqueira;8;Rua do Futuro  959 – Jaqueira;-8037700;-34905045
